User,ImageID,Correctness,Confidence,Comments
R3,32,1,1,
R3,37,1,1,
R3,3,1,2,
R3,0,0,1,
R3,5,1,2,
R3,38,0,1,
R3,33,1,1,
R3,22,1,2,
R3,2,1,1,
R3,8,1,2,
R3,35,1,3,
R3,9,0,1,
R3,7,1,1,
R3,12,1,1,
R3,13,1,1,
R3,39,0,1,
R3,29,0,1,
R3,28,1,2,
R3,10,0,1,
R3,36,1,1,
R3,24,1,1,
R3,21,0,1,
R3,34,1,2,
R3,17,1,2,
R3,26,1,1,
R3,11,0,1,
R3,18,1,1,
R3,27,0,1,
R3,25,1,1,
R3,19,0,1,
R3,31,1,1,
R3,30,0,1,
R3,23,1,1,
R3,6,0,1,
R3,16,1,1,
R3,1,0,1,
R3,4,0,1,
R3,15,1,1,
R3,14,1,1,
R3,20,1,1,This session (acc8-rec1-l5) was very difficult. I was guessing in almost all the 40 trials. 
