"","readerID","caseID","modalityID","score"
"1","truth","fake33","truth",0
"2","truth","fake37","truth",0
"3","truth","fake49","truth",0
"4","truth","fake45","truth",0
"5","truth","fake19","truth",0
"6","truth","fake43","truth",0
"7","truth","fake38","truth",0
"8","truth","fake5","truth",0
"9","truth","fake3","truth",0
"10","truth","fake15","truth",0
"11","truth","fake28","truth",0
"12","truth","fake46","truth",0
"13","truth","fake18","truth",0
"14","truth","fake22","truth",0
"15","truth","fake11","truth",0
"16","truth","fake39","truth",0
"17","truth","fake21","truth",0
"18","truth","fake34","truth",0
"19","truth","fake2","truth",0
"20","truth","fake10","truth",0
"21","truth","fake9","truth",0
"22","truth","fake32","truth",0
"23","truth","fake44","truth",0
"24","truth","fake24","truth",0
"25","truth","fake17","truth",0
"26","truth","fake8","truth",0
"27","truth","fake30","truth",0
"28","truth","fake27","truth",0
"29","truth","fake47","truth",0
"30","truth","fake7","truth",0
"31","truth","fake40","truth",0
"32","truth","fake6","truth",0
"33","truth","fake16","truth",0
"34","truth","fake13","truth",0
"35","truth","fake31","truth",0
"36","truth","fake35","truth",0
"37","truth","fake48","truth",0
"38","truth","fake14","truth",0
"39","truth","fake23","truth",0
"40","truth","fake42","truth",0
"41","truth","fake26","truth",0
"42","truth","fake36","truth",0
"43","truth","fake0","truth",0
"44","truth","fake1","truth",0
"45","truth","fake25","truth",0
"46","truth","fake20","truth",0
"47","truth","fake41","truth",0
"48","truth","fake29","truth",0
"49","truth","fake12","truth",0
"50","truth","fake4","truth",0
"51","truth","real33","truth",1
"52","truth","real37","truth",1
"53","truth","real49","truth",1
"54","truth","real45","truth",1
"55","truth","real19","truth",1
"56","truth","real43","truth",1
"57","truth","real38","truth",1
"58","truth","real5","truth",1
"59","truth","real3","truth",1
"60","truth","real15","truth",1
"61","truth","real28","truth",1
"62","truth","real46","truth",1
"63","truth","real18","truth",1
"64","truth","real22","truth",1
"65","truth","real11","truth",1
"66","truth","real39","truth",1
"67","truth","real21","truth",1
"68","truth","real34","truth",1
"69","truth","real2","truth",1
"70","truth","real10","truth",1
"71","truth","real9","truth",1
"72","truth","real32","truth",1
"73","truth","real44","truth",1
"74","truth","real24","truth",1
"75","truth","real17","truth",1
"76","truth","real8","truth",1
"77","truth","real30","truth",1
"78","truth","real27","truth",1
"79","truth","real47","truth",1
"80","truth","real7","truth",1
"81","truth","real40","truth",1
"82","truth","real6","truth",1
"83","truth","real16","truth",1
"84","truth","real13","truth",1
"85","truth","real31","truth",1
"86","truth","real35","truth",1
"87","truth","real48","truth",1
"88","truth","real14","truth",1
"89","truth","real23","truth",1
"90","truth","real42","truth",1
"91","truth","real26","truth",1
"92","truth","real36","truth",1
"93","truth","real0","truth",1
"94","truth","real1","truth",1
"95","truth","real25","truth",1
"96","truth","real20","truth",1
"97","truth","real41","truth",1
"98","truth","real29","truth",1
"99","truth","real12","truth",1
"100","truth","real4","truth",1
"101","Zitong","fake33","HO",0.5
"102","Zitong","fake37","HO",0.5
"103","Zitong","fake49","HO",0.5
"104","Zitong","fake45","HO",0.5
"105","Zitong","fake19","HO",0.5
"106","Zitong","fake43","HO",0.5
"107","Zitong","fake38","HO",0.5
"108","Zitong","fake5","HO",0.5
"109","Zitong","fake3","HO",0.5
"110","Zitong","fake15","HO",0.5
"111","Zitong","fake28","HO",0.5
"112","Zitong","fake46","HO",0.5
"113","Zitong","fake18","HO",0.5
"114","Zitong","fake22","HO",0.5
"115","Zitong","fake11","HO",0.5
"116","Zitong","fake39","HO",0.5
"117","Zitong","fake21","HO",0.5
"118","Zitong","fake34","HO",0.5
"119","Zitong","fake2","HO",0.5
"120","Zitong","fake10","HO",0.5
"121","Zitong","fake9","HO",0.5
"122","Zitong","fake32","HO",0.5
"123","Zitong","fake44","HO",0.5
"124","Zitong","fake24","HO",0.5
"125","Zitong","fake17","HO",0.5
"126","Zitong","fake8","HO",0.5
"127","Zitong","fake30","HO",0.5
"128","Zitong","fake27","HO",0.5
"129","Zitong","fake47","HO",0.5
"130","Zitong","fake7","HO",0.5
"131","Zitong","fake40","HO",0.5
"132","Zitong","fake6","HO",0.5
"133","Zitong","fake16","HO",0.5
"134","Zitong","fake13","HO",0.5
"135","Zitong","fake31","HO",0.5
"136","Zitong","fake35","HO",0.5
"137","Zitong","fake48","HO",0.5
"138","Zitong","fake14","HO",0.5
"139","Zitong","fake23","HO",0.5
"140","Zitong","fake42","HO",0.5
"141","Zitong","fake26","HO",0.5
"142","Zitong","fake36","HO",0.5
"143","Zitong","fake0","HO",0.5
"144","Zitong","fake1","HO",0.5
"145","Zitong","fake25","HO",0.5
"146","Zitong","fake20","HO",0.5
"147","Zitong","fake41","HO",0.5
"148","Zitong","fake29","HO",0.5
"149","Zitong","fake12","HO",0.5
"150","Zitong","fake4","HO",0.5
"151","Prabhat","fake10","HO",0.5
"152","Prabhat","fake19","HO",0.5
"153","Prabhat","fake23","HO",0.5
"154","Prabhat","fake8","HO",0.5
"155","Prabhat","fake30","HO",0.5
"156","Prabhat","fake17","HO",0.5
"157","Prabhat","fake15","HO",0.5
"158","Prabhat","fake37","HO",0.5
"159","Prabhat","fake27","HO",0.5
"160","Prabhat","fake41","HO",0.5
"161","Prabhat","fake38","HO",0.5
"162","Prabhat","fake2","HO",0.5
"163","Prabhat","fake7","HO",0.5
"164","Prabhat","fake0","HO",0.5
"165","Prabhat","fake42","HO",0.5
"166","Prabhat","fake39","HO",0.5
"167","Prabhat","fake14","HO",0.5
"168","Prabhat","fake12","HO",0.5
"169","Prabhat","fake47","HO",0.5
"170","Prabhat","fake22","HO",0.5
"171","Prabhat","fake28","HO",0.5
"172","Prabhat","fake26","HO",0.5
"173","Prabhat","fake16","HO",0.5
"174","Prabhat","fake43","HO",0.5
"175","Prabhat","fake20","HO",0.5
"176","Prabhat","fake33","HO",0.5
"177","Prabhat","fake31","HO",0.5
"178","Prabhat","fake6","HO",0.5
"179","Prabhat","fake46","HO",0.5
"180","Prabhat","fake21","HO",0.5
"181","Prabhat","fake13","HO",0.5
"182","Prabhat","fake45","HO",0.5
"183","Prabhat","fake35","HO",0.5
"184","Prabhat","fake9","HO",0.5
"185","Prabhat","fake34","HO",0.5
"186","Prabhat","fake40","HO",0.5
"187","Prabhat","fake48","HO",0.5
"188","Prabhat","fake3","HO",0.5
"189","Prabhat","fake11","HO",0.5
"190","Prabhat","fake49","HO",0.5
"191","Prabhat","fake44","HO",0.5
"192","Prabhat","fake25","HO",0.5
"193","Prabhat","fake32","HO",0.5
"194","Prabhat","fake1","HO",0.5
"195","Prabhat","fake36","HO",0.5
"196","Prabhat","fake24","HO",0.5
"197","Prabhat","fake5","HO",0.5
"198","Prabhat","fake29","HO",0.5
"199","Prabhat","fake4","HO",0.5
"200","Prabhat","fake18","HO",0.5
"201","Rongping","fake42","HO",0.5
"202","Rongping","fake41","HO",0.5
"203","Rongping","fake34","HO",0.5
"204","Rongping","fake33","HO",0.5
"205","Rongping","fake28","HO",0.5
"206","Rongping","fake45","HO",0.5
"207","Rongping","fake49","HO",0.5
"208","Rongping","fake6","HO",0.5
"209","Rongping","fake36","HO",0.5
"210","Rongping","fake14","HO",0.5
"211","Rongping","fake3","HO",0.5
"212","Rongping","fake47","HO",0.5
"213","Rongping","fake9","HO",0.5
"214","Rongping","fake23","HO",0.5
"215","Rongping","fake27","HO",0.5
"216","Rongping","fake37","HO",0.5
"217","Rongping","fake48","HO",0.5
"218","Rongping","fake40","HO",0.5
"219","Rongping","fake30","HO",0.5
"220","Rongping","fake12","HO",0.5
"221","Rongping","fake18","HO",0.5
"222","Rongping","fake2","HO",0.5
"223","Rongping","fake0","HO",0.5
"224","Rongping","fake11","HO",0.5
"225","Rongping","fake31","HO",0.5
"226","Rongping","fake22","HO",0.5
"227","Rongping","fake15","HO",0.5
"228","Rongping","fake8","HO",0.5
"229","Rongping","fake1","HO",0.5
"230","Rongping","fake44","HO",0.5
"231","Rongping","fake17","HO",0.5
"232","Rongping","fake24","HO",0.5
"233","Rongping","fake43","HO",0.5
"234","Rongping","fake38","HO",0.5
"235","Rongping","fake25","HO",0.5
"236","Rongping","fake13","HO",0.5
"237","Rongping","fake16","HO",0.5
"238","Rongping","fake21","HO",0.5
"239","Rongping","fake10","HO",0.5
"240","Rongping","fake19","HO",0.5
"241","Rongping","fake7","HO",0.5
"242","Rongping","fake32","HO",0.5
"243","Rongping","fake39","HO",0.5
"244","Rongping","fake26","HO",0.5
"245","Rongping","fake29","HO",0.5
"246","Rongping","fake46","HO",0.5
"247","Rongping","fake20","HO",0.5
"248","Rongping","fake5","HO",0.5
"249","Rongping","fake35","HO",0.5
"250","Rongping","fake4","HO",0.5
"251","Zitong","real33","HO",1
"252","Zitong","real37","HO",1
"253","Zitong","real49","HO",1
"254","Zitong","real45","HO",1
"255","Zitong","real19","HO",1
"256","Zitong","real43","HO",1
"257","Zitong","real38","HO",1
"258","Zitong","real5","HO",1
"259","Zitong","real3","HO",1
"260","Zitong","real15","HO",0
"261","Zitong","real28","HO",1
"262","Zitong","real46","HO",1
"263","Zitong","real18","HO",1
"264","Zitong","real22","HO",1
"265","Zitong","real11","HO",1
"266","Zitong","real39","HO",1
"267","Zitong","real21","HO",1
"268","Zitong","real34","HO",1
"269","Zitong","real2","HO",1
"270","Zitong","real10","HO",1
"271","Zitong","real9","HO",1
"272","Zitong","real32","HO",1
"273","Zitong","real44","HO",1
"274","Zitong","real24","HO",1
"275","Zitong","real17","HO",1
"276","Zitong","real8","HO",1
"277","Zitong","real30","HO",1
"278","Zitong","real27","HO",1
"279","Zitong","real47","HO",1
"280","Zitong","real7","HO",1
"281","Zitong","real40","HO",1
"282","Zitong","real6","HO",1
"283","Zitong","real16","HO",1
"284","Zitong","real13","HO",1
"285","Zitong","real31","HO",1
"286","Zitong","real35","HO",1
"287","Zitong","real48","HO",1
"288","Zitong","real14","HO",1
"289","Zitong","real23","HO",1
"290","Zitong","real42","HO",0
"291","Zitong","real26","HO",1
"292","Zitong","real36","HO",1
"293","Zitong","real0","HO",1
"294","Zitong","real1","HO",1
"295","Zitong","real25","HO",0
"296","Zitong","real20","HO",1
"297","Zitong","real41","HO",1
"298","Zitong","real29","HO",1
"299","Zitong","real12","HO",1
"300","Zitong","real4","HO",1
"301","Prabhat","real10","HO",1
"302","Prabhat","real19","HO",1
"303","Prabhat","real23","HO",1
"304","Prabhat","real8","HO",1
"305","Prabhat","real30","HO",1
"306","Prabhat","real17","HO",1
"307","Prabhat","real15","HO",1
"308","Prabhat","real37","HO",1
"309","Prabhat","real27","HO",1
"310","Prabhat","real41","HO",1
"311","Prabhat","real38","HO",1
"312","Prabhat","real2","HO",1
"313","Prabhat","real7","HO",1
"314","Prabhat","real0","HO",1
"315","Prabhat","real42","HO",0
"316","Prabhat","real39","HO",1
"317","Prabhat","real14","HO",1
"318","Prabhat","real12","HO",1
"319","Prabhat","real47","HO",1
"320","Prabhat","real22","HO",1
"321","Prabhat","real28","HO",1
"322","Prabhat","real26","HO",1
"323","Prabhat","real16","HO",1
"324","Prabhat","real43","HO",1
"325","Prabhat","real20","HO",1
"326","Prabhat","real33","HO",1
"327","Prabhat","real31","HO",1
"328","Prabhat","real6","HO",1
"329","Prabhat","real46","HO",1
"330","Prabhat","real21","HO",1
"331","Prabhat","real13","HO",1
"332","Prabhat","real45","HO",1
"333","Prabhat","real35","HO",1
"334","Prabhat","real9","HO",1
"335","Prabhat","real34","HO",1
"336","Prabhat","real40","HO",0
"337","Prabhat","real48","HO",1
"338","Prabhat","real3","HO",1
"339","Prabhat","real11","HO",1
"340","Prabhat","real49","HO",1
"341","Prabhat","real44","HO",1
"342","Prabhat","real25","HO",1
"343","Prabhat","real32","HO",1
"344","Prabhat","real1","HO",0
"345","Prabhat","real36","HO",1
"346","Prabhat","real24","HO",1
"347","Prabhat","real5","HO",1
"348","Prabhat","real29","HO",1
"349","Prabhat","real4","HO",1
"350","Prabhat","real18","HO",1
"351","Rongping","real42","HO",0
"352","Rongping","real41","HO",1
"353","Rongping","real34","HO",1
"354","Rongping","real33","HO",1
"355","Rongping","real28","HO",1
"356","Rongping","real45","HO",1
"357","Rongping","real49","HO",0
"358","Rongping","real6","HO",1
"359","Rongping","real36","HO",1
"360","Rongping","real14","HO",1
"361","Rongping","real3","HO",1
"362","Rongping","real47","HO",1
"363","Rongping","real9","HO",1
"364","Rongping","real23","HO",1
"365","Rongping","real27","HO",0
"366","Rongping","real37","HO",1
"367","Rongping","real48","HO",1
"368","Rongping","real40","HO",1
"369","Rongping","real30","HO",1
"370","Rongping","real12","HO",1
"371","Rongping","real18","HO",1
"372","Rongping","real2","HO",1
"373","Rongping","real0","HO",1
"374","Rongping","real11","HO",1
"375","Rongping","real31","HO",1
"376","Rongping","real22","HO",1
"377","Rongping","real15","HO",1
"378","Rongping","real8","HO",1
"379","Rongping","real1","HO",0
"380","Rongping","real44","HO",1
"381","Rongping","real17","HO",1
"382","Rongping","real24","HO",1
"383","Rongping","real43","HO",1
"384","Rongping","real38","HO",1
"385","Rongping","real25","HO",1
"386","Rongping","real13","HO",1
"387","Rongping","real16","HO",1
"388","Rongping","real21","HO",1
